Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Fernando Gago,Defensive Midfield,26,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,6500000.0,3500000
Anthony Mounier,Left Winger,24,OGC Nice,Ligue 1,Montpellier,Ligue 1,2012-2013,6000000.0,3500000
Paolo Guerrero,Centre-Forward,28,Hamburger SV,1.Bundesliga,Corinthians,Série A,2012-2013,6000000.0,3500000
Mattia Cassani,Right-Back,28,US Palermo,Serie A,Fiorentina,Serie A,2012-2013,4500000.0,3500000
Marquinho,Left Midfield,26,Fluminense,Série A,AS Roma,Serie A,2012-2013,4500000.0,3500000
Gareth Bale,Right Winger,24,Spurs,Premier League,Real Madrid,LaLiga,2013-2014,65000000.0,101000000
Neymar,Left Winger,21,Santos FC,Série A,FC Barcelona,LaLiga,2013-2014,50000000.0,88200000
Edinson Cavani,Centre-Forward,26,SSC Napoli,Serie A,Paris SG,Ligue 1,2013-2014,55000000.0,64500000
Mesut Özil,Attacking Midfield,24,Real Madrid,LaLiga,Arsenal,Premier League,2013-2014,40000000.0,47000000
Juan Mata,Attacking Midfield,25,Chelsea,Premier League,Man Utd,Premier League,2013-2014,38000000.0,44730000
Falcao,Centre-Forward,27,Atlético Madrid,LaLiga,Monaco,Ligue 1,2013-2014,60000000.0,43000000
Gonzalo Higuaín,Centre-Forward,25,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,30000000.0,39000000
Mario Götze,Attacking Midfield,21,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2013-2014,45000000.0,37000000
Marouane Fellaini,Central Midfield,25,Everton,Premier League,Man Utd,Premier League,2013-2014,28000000.0,32400000
Asier Illarramendi,Defensive Midfield,23,Real Sociedad,LaLiga,Real Madrid,LaLiga,2013-2014,12000000.0,32000000
Marquinhos,Centre-Back,19,AS Roma,Serie A,Paris SG,Ligue 1,2013-2014,15000000.0,31400000
Roberto Soldado,Centre-Forward,28,Valencia CF,LaLiga,Spurs,Premier League,2013-2014,28000000.0,30000000
Isco,Attacking Midfield,21,Málaga CF,LaLiga,Real Madrid,LaLiga,2013-2014,25000000.0,30000000
Érik Lamela,Right Winger,21,AS Roma,Serie A,Spurs,Premier League,2013-2014,23000000.0,30000000
Stevan Jovetic,Centre-Forward,23,Fiorentina,Serie A,Man City,Premier League,2013-2014,28000000.0,26000000
Thiago,Central Midfield,22,FC Barcelona,LaLiga,Bayern Munich ,1.Bundesliga,2013-2014,22000000.0,25000000
Álvaro Negredo,Centre-Forward,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,20000000.0,25000000
Yohan Cabaye,Central Midfield,28,Newcastle,Premier League,Paris SG,Ligue 1,2013-2014,20000000.0,25000000
André Schürrle,Left Winger,22,Bay. Leverkusen,1.Bundesliga,Chelsea,Premier League,2013-2014,25000000.0,22000000
Kevin De Bruyne,Attacking Midfield,22,Chelsea,Premier League,VfL Wolfsburg,1.Bundesliga,2013-2014,15000000.0,22000000
Jesús Navas,Right Winger,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,20000000.0,20000000
Juan Cuadrado,Right Winger,25,Udinese Calcio,Serie A,Fiorentina,Serie A,2013-2014,15000000.0,20000000
Geoffrey Kondogbia,Central Midfield,20,Sevilla FC,LaLiga,Monaco,Ligue 1,2013-2014,15000000.0,20000000
Paulinho,Central Midfield,24,Corinthians,Série A,Spurs,Premier League,2013-2014,12000000.0,19730000
Mamadou Sakho,Centre-Back,23,Paris SG,Ligue 1,Liverpool,Premier League,2013-2014,15000000.0,19000000
Hernanes,Attacking Midfield,28,Lazio,Serie A,Inter,Serie A,2013-2014,22000000.0,18000000
Andy Carroll,Centre-Forward,24,Liverpool,Premier League,West Ham,Premier League,2013-2014,11000000.0,17500000
Luiz Gustavo,Defensive Midfield,26,Bayern Munich ,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2013-2014,18000000.0,16000000
Mario Gómez,Centre-Forward,28,Bayern Munich ,1.Bundesliga,Fiorentina,Serie A,2013-2014,28000000.0,15500000
Daniel Osvaldo,Centre-Forward,27,AS Roma,Serie A,Southampton,Premier League,2013-2014,17000000.0,15100000
Angelo Ogbonna,Centre-Back,25,Torino,Serie A,Juventus,Serie A,2013-2014,12000000.0,15000000
Lucas Digne,Left-Back,20,LOSC Lille,Ligue 1,Paris SG,Ligue 1,2013-2014,10000000.0,15000000
Kurt Zouma,Centre-Back,19,Saint-Étienne,Ligue 1,Chelsea,Premier League,2013-2014,7500000.0,14600000
Medhi Benatia,Centre-Back,26,Udinese Calcio,Serie A,AS Roma,Serie A,2013-2014,13000000.0,13500000
Leandro Damião,Centre-Forward,24,Internacional,Série A,Santos FC,Série A,2013-2014,22000000.0,13000000
Pierre-Emerick Aubameyang,Centre-Forward,24,Saint-Étienne,Ligue 1,Bor. Dortmund,1.Bundesliga,2013-2014,15000000.0,13000000
Mauro Icardi,Centre-Forward,20,Sampdoria,Serie A,Inter,Serie A,2013-2014,12000000.0,13000000
Gary Medel,Defensive Midfield,26,Sevilla FC,LaLiga,Cardiff,Premier League,2013-2014,10000000.0,13000000
Bojan Krkic,Second Striker,22,AS Roma,Serie A,FC Barcelona,LaLiga,2013-2014,8000000.0,13000000
Adem Ljajic,Attacking Midfield,21,Fiorentina,Serie A,AS Roma,Serie A,2013-2014,12000000.0,12000000
Raúl Albiol,Centre-Back,27,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,8000000.0,12000000
Florian Thauvin,Right Winger,20,LOSC Lille,Ligue 1,Marseille,Ligue 1,2013-2014,6000000.0,12000000
Manolo Gabbiadini,Centre-Forward,21,Juventus,Serie A,Sampdoria,Serie A,2013-2014,7000000.0,11500000
Étienne Capoue,Defensive Midfield,25,Toulouse,Ligue 1,Spurs,Premier League,2013-2014,13000000.0,11000000
Alessandro Matri,Centre-Forward,29,Juventus,Serie A,AC Milan,Serie A,2013-2014,11000000.0,11000000
Iago Aspas,Right Winger,25,Celta de Vigo,LaLiga,Liverpool,Premier League,2013-2014,9000000.0,10800000
Simon Mignolet,Goalkeeper,25,Sunderland,Premier League,Liverpool,Premier League,2013-2014,5500000.0,10600000
Kevin-Prince Boateng,Central Midfield,26,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,2013-2014,15000000.0,10000000
Heung-min Son,Left Winger,20,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2013-2014,14000000.0,10000000
Dejan Lovren,Centre-Back,24,Olympique Lyon,Ligue 1,Southampton,Premier League,2013-2014,7000000.0,10000000
Josuha Guilavogui,Defensive Midfield,22,Saint-Étienne,Ligue 1,Atlético Madrid,LaLiga,2013-2014,6500000.0,10000000
Simone Zaza,Centre-Forward,22,Juventus,Serie A,Sassuolo,Serie A,2013-2014,4500000.0,10000000
Sokratis,Centre-Back,25,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2013-2014,10000000.0,9900000
Andrea Poli,Central Midfield,23,Sampdoria,Serie A,AC Milan,Serie A,2013-2014,8000000.0,9700000
José Callejón,Right Winger,26,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,10000000.0,9500000
Jorginho,Defensive Midfield,22,Hellas Verona,Serie A,SSC Napoli,Serie A,2013-2014,10000000.0,9500000
Steven Caulker,Centre-Back,21,Spurs,Premier League,Cardiff,Premier League,2013-2014,8000000.0,9150000
Carlos Tévez,Second Striker,29,Man City,Premier League,Juventus,Serie A,2013-2014,27000000.0,9000000
Dimitri Payet,Attacking Midfield,26,LOSC Lille,Ligue 1,Marseille,Ligue 1,2013-2014,15000000.0,8700000
Shane Long,Centre-Forward,27,West Brom,Premier League,Hull City,Premier League,2013-2014,5500000.0,8500000
Antonio Candreva,Right Winger,26,Udinese Calcio,Serie A,Lazio,Serie A,2013-2014,10000000.0,8200000
